MessageType,Seconds,Nanoseconds,r,theta,color,Latitude,Longitude,Position.x,Position.y,Position.z,Orientation.x,Orientation.y,Orientation.z,Orientation.w,LinearAccel.x,LinearAccel.y,LinearAccel.z,LeftFrontSpeed,LeftBackSpeed,RightFrontSpeed,RightBackSpeed
Imu,215,770000000,,,,,,,,,4.431776855517851e-08,-9.6890636465797e-06,7.46735242210755e-10,0.99999999995306,-0.005254466646491,0.0884670905442368,9.87238368641948,,,,
Imu,215,771000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0391209251644001,-0.0737618541344469,9.766657398177786,,,,
Imu,215,772000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0007029031574465,-0.1133338554521078,9.663421769889188,,,,
Imu,215,773000000,,,,,,,,,4.431776869156352e-08,-9.689063646578928e-06,7.46735278579846e-10,0.99999999995306,0.0598275391122485,-0.1111503377004053,9.797708692697167,,,,
CarState,215,774000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,774000000,,,,,,,,,4.431776873665927e-08,-9.6890636465764e-06,7.46735290673722e-10,0.99999999995306,0.0902188163402549,-0.0111238462636276,9.655655280438255,,,,
WheelSpeeds,215,774000000,,,,,,,,,,,,,,,,999.7796020507812,-0.4635511934757232,998.7902221679688,-1.6946197748184204
Imu,215,775000000,,,,,,,,,4.43177687809468e-08,-9.689063646583146e-06,7.467353023886566e-10,0.99999999995306,-0.1904264645356924,0.0799926833682826,9.865597482399842,,,,
Imu,215,776000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0212273705219824,-0.1984472168690976,9.825382560799106,,,,
Imu,215,777000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0764591037357805,-0.090692699355143,9.722837626373764,,,,
Cones,215,778000000,13.168956834717047,0.2270189950626129,2.0,,,,,,,,,,,,,,,,
Cones,215,778000000,9.419640947342955,0.3291575128244309,2.0,,,,,,,,,,,,,,,,
Cones,215,778000000,6.720931233695993,0.4296162819156779,2.0,,,,,,,,,,,,,,,,
Cones,215,778000000,2.1631308998753758,1.4590778497066257,2.0,,,,,,,,,,,,,,,,
Cones,215,778000000,13.261426791796891,-0.1467953049214484,1.0,,,,,,,,,,,,,,,,
Cones,215,778000000,9.248333076560144,-0.196196869555208,1.0,,,,,,,,,,,,,,,,
Cones,215,778000000,6.318641377116317,-0.2980333995902,1.0,,,,,,,,,,,,,,,,
Cones,215,778000000,2.7977312916532884,-1.3033589417024338,1.0,,,,,,,,,,,,,,,,
Cones,215,778000000,3.533201104933808,-0.5815392294572375,0.0,,,,,,,,,,,,,,,,
Cones,215,778000000,3.8697696300586686,-0.5204518580865767,0.0,,,,,,,,,,,,,,,,
Cones,215,778000000,3.961197789856445,0.7366106709135648,0.0,,,,,,,,,,,,,,,,
Cones,215,778000000,4.359558281477426,0.6672905278435404,0.0,,,,,,,,,,,,,,,,
Imu,215,778000000,,,,,,,,,4.431776891525877e-08,-9.689063646579856e-06,7.467353382973901e-10,0.99999999995306,0.0036250158495657,-0.0060590737626352,9.8523057259475,,,,
CarState,215,779000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,779000000,,,,,,,,,4.431776896084074e-08,-9.689063646575532e-06,7.467353504999603e-10,0.99999999995306,0.0479599566459051,0.0688766221007451,9.78568131139148,,,,
WheelSpeeds,215,779000000,,,,,,,,,,,,,,,,999.9229736328124,-0.6694664359092712,999.6005859375,0.3393291532993316
Imu,215,780000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.0543753738049731,-0.0088464091299536,9.836775416600204,,,,
Imu,215,781000000,,,,,,,,,0.0,0.0,0.0,1.0,-0.1065385112281516,0.0586957632396682,9.76727355660567,,,,
Imu,215,782000000,,,,,,,,,0.0,0.0,0.0,1.0,0.093226611778301,-0.0859010329466831,9.84277610516294,,,,
Imu,215,783000000,,,,,,,,,4.431776914027953e-08,-9.6890636465575e-06,7.467353983108965e-10,0.99999999995306,-0.0559544075128406,0.0656882093431961,9.748119498990782,,,,
CarState,215,784000000,,,,,,0.0,0.0,0.2577076865598948,0.0,0.0,0.0,1.0,,,,,,,
Imu,215,784000000,,,,,,,,,4.431776918581099e-08,-9.689063646553177e-06,7.467354105022194e-10,0.99999999995306,0.0650208771275373,0.0276258044458325,9.736832034661592,,,,
WheelSpeeds,215,784000000,,,,,,,,,,,,,,,,998.352294921875,-0.2262056618928909,1000.1449584960938,0.3999500572681427
Imu,215,785000000,,,,,,,,,0.0,0.0,0.0,1.0,0.0170762160279272,0.0462929902184839,9.706101623602075,,,,
